,City,Cloudiness,Country,Date,Humidity,Latitude,Longtitude,Max Temp,Wind Speed
385,taltal,20,CL,1547259603,100,-25.41,-70.49,53.03,1.7
386,sao gabriel da cachoeira,20,BR,1547260321,89,-0.13,-67.09,76.84,2.15
387,saint-denis,90,FR,1547258400,93,48.94,2.36,42.8,4.7
388,lichinga,76,MZ,1547260814,98,-13.3,35.25,66.49,2.71
389,goure,0,NE,1547260814,62,13.98,10.27,59.11,5.61
390,severodvinsk,90,RU,1547258400,92,64.56,39.82,23.0,13.42
391,salalah,0,OM,1547257800,28,17.01,54.1,73.4,16.11
392,pitimbu,75,BR,1547258400,78,-7.47,-34.81,78.8,8.05
393,lengshuijiang,80,CN,1547260814,100,27.66,111.45,37.96,1.03
394,adrar,0,DZ,1547258400,48,27.87,-0.29,42.8,14.99
395,sur,0,OM,1547260175,100,22.57,59.53,70.31,16.35
396,qaqortoq,75,GL,1547257800,55,60.72,-46.03,37.4,25.28
397,tias,0,ES,1547258400,67,28.96,-13.65,64.4,8.05
398,bonthe,0,SL,1547260323,85,7.53,-12.5,79.27,4.94
399,teya,0,MX,1547260815,65,21.05,-89.07,68.29,6.29
400,fort nelson,90,CA,1547258400,83,58.81,-122.69,-4.01,3.36
401,aqtobe,0,KZ,1547258400,85,50.28,57.21,12.2,8.95
402,kudahuvadhoo,20,MV,1547260815,100,2.67,72.89,79.99,9.42
403,lasa,0,CY,1547258400,76,34.92,32.53,50.0,8.05
404,adjumani,0,UG,1547260816,46,3.38,31.79,67.12,6.62
405,los llanos de aridane,12,ES,1547258400,63,28.66,-17.92,64.4,6.93
406,imbituba,40,BR,1547258400,78,-28.24,-48.67,78.8,6.93
407,deer lake,90,CA,1547258400,79,49.18,-57.43,28.4,17.22
408,dhadar,48,IN,1547260816,66,28.33,75.06,52.9,6.51
409,armstrong,40,CA,1547258400,92,50.44,-119.19,33.8,2.24
410,brewster,1,US,1547258160,41,41.76,-70.08,23.0,8.05
411,port hardy,90,CA,1547254800,81,50.7,-127.42,48.2,19.46
412,caucaia,40,BR,1547258400,83,-3.73,-38.66,80.6,6.93
413,meiktila,0,MM,1547260817,74,20.88,95.86,72.92,4.5
414,esperance,20,TT,1547258400,88,10.24,-61.45,75.2,4.7
415,bella union,68,CO,1547260817,84,8.5,-73.35,66.85,2.26
416,riverton,90,US,1547258640,96,43.02,-108.38,28.04,2.48
417,walvis bay,8,NA,1547258400,87,-22.95,14.51,60.8,3.36
418,san quintin,12,PH,1547260340,62,17.54,120.52,79.76,3.04
419,ca mau,76,VN,1547260818,77,9.18,105.15,83.63,15.46
420,ust-ishim,56,RU,1547260818,75,57.69,71.17,-6.6,2.93
421,mwingi,0,KE,1547260818,69,-0.93,38.07,59.42,4.5
422,bowen,75,AU,1547258400,69,-20.01,148.25,80.6,17.22
423,kletnya,40,RU,1547258400,91,53.39,33.22,3.2,6.71
424,katherine,0,AU,1547258400,62,-14.47,132.26,89.6,5.82
425,puerto escondido,0,MX,1547260378,100,15.86,-97.07,80.89,4.94
426,dongli,90,CN,1547258400,93,24.18,117.61,62.6,4.47
427,tombouctou,0,ML,1547260346,38,16.77,-3.01,58.34,9.75
428,kichera,8,RU,1547260819,69,55.93,110.1,-11.55,1.92
429,mizdah,20,LY,1547260819,81,31.45,12.98,40.16,20.49
430,ternate,20,PH,1547258400,62,14.29,120.72,86.0,4.7
431,alakurtti,68,RU,1547260819,92,66.96,30.34,20.54,4.05
432,yar-sale,48,RU,1547259608,74,66.83,70.83,-11.05,18.03
433,palmer,0,AU,1547258400,27,-34.85,139.16,87.8,11.41
434,feijo,75,EC,1547258400,78,-3.63,-79.92,89.6,2.24
435,constitucion,0,MX,1547260008,53,23.99,-104.67,51.64,7.18
436,millinocket,1,US,1547258160,62,45.66,-68.71,3.92,16.11
437,sao mateus,92,BR,1547260820,92,-18.72,-39.86,79.45,7.18
438,casablanca,0,MA,1547258400,100,33.6,-7.62,44.6,4.7
439,cloquet,90,US,1547260500,79,46.72,-92.46,26.6,9.19
440,yerbogachen,44,RU,1547259612,60,61.28,108.01,-7.5,6.96
441,nakambala,92,ZM,1547260821,100,-15.83,27.78,65.99,4.38
442,pauini,64,BR,1547260821,99,-7.71,-67.0,72.92,2.48
443,kyren,0,RU,1547260821,56,51.68,102.13,-14.74,1.92
444,takoradi,12,GH,1547260078,100,4.89,-1.75,80.44,4.38
445,nabire,64,ID,1547260317,87,-3.36,135.5,77.69,2.59
446,san pedro de macoris,40,DO,1547258400,88,18.46,-69.3,71.6,4.7
447,kozlovka,75,RU,1547258400,85,55.84,48.25,12.2,11.18
448,soe,0,EE,1547257800,86,57.91,26.05,28.4,11.41
449,rajpura,0,IN,1547260822,73,30.48,76.59,43.81,2.37
450,college,20,US,1547258280,68,64.86,-147.8,-37.48,2.71
451,kamennogorsk,20,RU,1547259600,92,60.95,29.13,28.4,10.29
452,ahipara,36,NZ,1547259600,59,-35.17,173.16,77.47,9.75
453,pingliang,44,CN,1547260823,54,35.54,106.68,25.27,3.71
454,okoneshnikovo,80,RU,1547260823,79,54.84,75.08,2.05,4.61
455,ballina,92,IE,1547260279,99,54.11,-9.15,46.87,17.02
456,port hedland,0,AU,1547258400,63,-20.31,118.58,91.4,16.11
457,benjamin aceval,75,PY,1547258400,88,-24.97,-57.57,73.4,9.17
458,port macquarie,12,AU,1547258400,40,-31.43,152.91,87.8,9.17
459,carora,76,VE,1547260823,60,10.17,-70.08,75.31,3.6
460,road town,20,VG,1547258400,83,18.42,-64.62,73.94,7.63
461,coquimbo,0,CL,1547258400,82,-29.95,-71.34,59.0,4.7
462,yadrin,76,RU,1547260824,84,55.94,46.2,12.31,8.75
463,banda aceh,8,ID,1547260052,82,5.56,95.32,82.06,4.72
464,awbari,0,LY,1547260314,67,26.59,12.77,36.47,8.97
465,khabary,68,RU,1547260824,71,53.63,79.53,-5.83,7.4
466,vila franca do campo,20,PT,1547258400,82,37.72,-25.43,59.0,19.46
467,manavalakurichi,20,IN,1547258400,88,8.13,77.3,77.0,2.24
468,toora-khem,44,RU,1547260824,67,52.47,96.11,-12.4,2.15
469,edmundston,90,CA,1547258040,65,47.36,-68.33,5.0,10.29
470,nelson bay,0,AU,1547258400,49,-32.72,152.14,89.6,6.93
471,alyangula,40,AU,1547258400,66,-13.85,136.42,89.6,5.82
472,boyuibe,0,BO,1547260825,94,-20.43,-63.28,63.34,4.27
473,pasil,8,PH,1547260825,64,17.39,121.16,75.04,2.59
474,los lunas,40,US,1547257920,64,34.81,-106.76,39.92,11.41
475,kieta,20,PG,1547259592,100,-6.22,155.63,82.46,2.15
476,sarkand,92,KZ,1547260725,81,45.41,79.91,16.58,3.04
477,movileni,48,RO,1547258400,92,45.4,27.97,26.6,2.24
478,selfoss,90,IS,1547258400,95,63.94,-21.0,37.4,23.04
479,lavrentiya,24,RU,1547260321,99,65.58,-170.99,-8.71,27.31
480,palana,8,RU,1547260374,68,59.08,159.95,22.88,7.96
481,trincomalee,92,LK,1547260826,89,8.58,81.23,77.47,7.63
482,dogbo,12,CM,1547260826,67,4.43,14.33,64.64,5.61
483,lazaro cardenas,0,MX,1547260346,52,28.39,-105.62,47.77,7.63
484,bambanglipuro,0,ID,1547260826,83,-7.95,110.28,84.49,4.38
485,poykovskiy,75,RU,1547258400,74,61.23,73.33,-25.61,2.24
486,atasu,36,KZ,1547260827,80,48.68,71.64,-2.05,7.07
487,myanaung,20,MM,1547260827,74,18.28,95.32,76.52,6.51
488,stutterheim,0,ZA,1547260827,68,-32.57,27.43,60.37,5.06
489,pekin,90,US,1547259300,68,40.57,-89.64,31.64,4.7
490,katima mulilo,36,NA,1547260828,89,-17.5,24.28,69.19,3.71
491,jalu,0,LY,1547260828,40,29.03,21.55,47.09,11.43
492,hobyo,76,SO,1547259460,81,5.35,48.53,76.12,18.7
493,seoul,56,KR,1547258400,44,37.57,126.98,39.2,1.12
494,yalutorovsk,0,RU,1547260828,71,56.65,66.31,1.42,7.4
495,kargil,68,PK,1547260828,80,34.56,76.13,-2.32,0.58
496,rocha,80,UY,1547260236,77,-34.48,-54.34,60.19,5.73
497,ahuimanu,75,US,1547258220,73,21.44,-157.84,78.98,5.82
498,mumford,32,GH,1547260353,94,5.26,-0.76,77.47,5.06
499,normandin,75,CA,1547258400,64,48.84,-72.53,-2.21,8.05
500,la ronge,75,CA,1547258400,77,55.1,-105.3,3.2,11.41
501,kupang,56,ID,1547260829,85,-10.16,123.6,86.11,6.96
502,matagami,0,NG,1547259617,40,9.67,8.4,61.22,7.4
503,pitiquito,20,MX,1547260829,83,30.68,-112.05,48.44,2.71
504,nybro,0,SE,1547259600,64,56.75,15.91,33.8,6.93
505,calama,0,CL,1547258400,50,-22.46,-68.93,55.4,14.99
506,chabahar,0,IR,1547260829,100,25.29,60.65,67.43,13.22
507,san luis,0,AR,1547260830,46,-33.3,-66.34,73.73,11.99
508,santiago del estero,32,AR,1547260830,92,-27.8,-64.26,66.62,5.17
509,angoche,88,MZ,1547260830,100,-16.23,39.91,77.87,15.23
510,buala,92,SB,1547260389,90,-8.15,159.59,83.95,4.94
511,sorland,64,NO,1547260327,100,67.67,12.69,38.54,24.29
512,ihosy,80,MG,1547260831,95,-22.4,46.13,66.94,2.82
513,kargat,48,RU,1547260832,81,55.19,80.28,-1.33,6.96
514,labuhan,32,ID,1547260832,73,-2.54,115.51,85.97,3.15
515,mana,75,RS,1547260200,92,43.52,20.24,19.4,1.12
516,ust-barguzin,48,RU,1547260832,82,53.41,109.03,2.05,4.16
517,yagodnoye,20,RU,1547260832,70,62.52,149.63,-17.89,3.27
518,roald,88,NO,1547257800,100,62.58,6.12,37.4,10.29
519,yaypan,64,UZ,1547260833,86,40.38,70.82,27.11,3.6
520,cockburn town,12,TC,1547259635,100,21.46,-71.14,76.75,13.78
521,ukiah,90,US,1547258160,89,39.15,-123.21,51.98,6.96
522,rundu,20,NA,1547260833,29,-17.91,19.77,76.12,7.96
523,teluknaga,40,ID,1547258400,74,-6.1,106.64,84.2,6.93
524,bukoba,80,TZ,1547260833,96,-1.33,31.81,71.39,2.93
525,bozhou,0,CN,1547260834,79,33.86,115.78,42.91,5.39
526,amsterdam,75,NL,1547259900,93,52.37,4.89,44.6,12.75
527,grand gaube,40,MU,1547258400,88,-20.01,57.66,78.8,6.93
528,antalaha,92,MG,1547259619,95,-14.9,50.28,78.14,1.36
529,biograd na moru,0,HR,1547258400,85,43.94,15.45,19.4,4.7
530,nanakuli,40,US,1547258220,59,21.39,-158.15,78.98,10.29
531,nakasongola,12,UG,1547260835,78,1.32,32.46,63.61,7.52
532,cochrane,0,CL,1547260835,43,-47.25,-72.57,41.96,6.73
533,port blair,24,IN,1547259655,100,11.67,92.75,79.54,7.4
534,faya,0,SA,1547258400,93,18.39,42.45,51.8,2.71
535,liliani,92,PK,1547260835,98,32.21,72.95,51.23,7.63
536,asyut,0,EG,1547258400,70,27.18,31.19,46.4,2.93
537,olhao,0,PT,1547258400,42,37.03,-7.84,46.4,9.17
538,saint-joseph,0,FR,1547258400,74,43.56,6.97,39.2,4.7
539,rabaul,20,PG,1547260836,100,-4.2,152.17,83.72,3.71
540,kovdor,48,RU,1547260298,81,67.56,30.47,15.19,2.37
541,port shepstone,0,ZA,1547260836,73,-30.74,30.45,75.22,25.86
542,changji,44,CN,1547260836,94,32.07,116.17,44.17,3.94
543,ambon,90,FR,1547256600,87,47.55,-2.56,44.6,8.05
544,jacareacanga,44,BR,1547260837,92,-6.22,-57.76,72.97,2.15
545,mezen,76,RU,1547260335,76,65.85,44.24,20.36,10.65
546,brockville,1,CA,1547260500,82,44.59,-75.69,1.76,4.05
547,sitka,92,US,1547259455,100,37.17,-99.65,35.39,18.03
548,ostrovnoy,88,RU,1547260289,89,68.05,39.51,21.53,10.65
549,aquiraz,40,BR,1547258400,83,-3.9,-38.39,80.6,6.93
550,tono,40,JP,1547258400,48,39.35,141.52,41.0,3.36
551,skibbereen,75,IE,1547260200,93,51.55,-9.27,46.4,6.93
552,kahului,40,US,1547258160,56,20.89,-156.47,84.02,10.29
553,novyye lyady,90,RU,1547258400,78,58.05,56.6,12.2,8.95
554,virginia beach,1,US,1547259600,65,36.85,-75.98,37.04,6.62
555,north bend,1,US,1547258160,85,43.41,-124.22,51.08,6.93
556,mayo,90,CA,1547258400,75,63.59,-135.9,-20.21,2.48
557,neuquen,0,AR,1547258400,15,-38.95,-68.06,73.4,11.41
558,san joaquin,20,PH,1547260838,70,10.59,122.14,82.64,10.65
559,whitefish,90,US,1547258100,95,48.41,-114.33,32.0,1.81
560,inongo,64,CD,1547260839,100,-1.93,18.29,71.17,2.48
561,pacasmayo,88,PE,1547260839,94,-7.4,-79.57,71.84,13.89
562,katete,24,UG,1547260839,81,-0.78,29.75,56.41,2.82
563,turangi,24,NZ,1547260839,70,-39.0,175.93,69.46,7.4
564,rio gallegos,0,AR,1547258400,42,-51.62,-69.22,48.2,18.34
565,matamoros,75,US,1547259300,93,25.87,-97.51,70.52,11.41
566,rio grande,92,BR,1547260296,94,-32.03,-52.1,72.56,10.87
567,tabou,0,CI,1547260840,100,4.42,-7.36,81.11,0.69
568,bilma,0,NE,1547260840,52,18.69,12.92,47.14,3.49
569,xichang,0,CN,1547260840,23,27.88,102.25,52.0,1.48
570,erenhot,0,CN,1547260840,69,43.65,111.97,13.3,13.11
571,abong mbang,12,CM,1547260840,68,3.98,13.18,63.29,2.93
572,hosanagara,8,IN,1547260840,81,13.92,75.07,67.88,2.59
573,yate,90,GB,1547260020,100,51.54,-2.41,48.2,14.99
574,ligayan,76,PH,1547260841,100,4.65,119.47,82.19,7.74
575,lobva,0,RU,1547260841,84,59.19,60.52,11.05,7.07
576,iranshahr,0,IR,1547258400,28,27.21,60.69,44.6,1.48
577,umm kaddadah,0,SD,1547259604,37,13.6,26.69,54.25,8.75
578,fastovetskaya,92,RU,1547260842,97,45.92,40.15,41.74,14.79
579,doha,0,QA,1547258400,67,25.29,51.53,59.0,10.29
580,inhambane,48,MZ,1547260387,99,-23.87,35.38,79.67,11.54
581,ziro,0,IN,1547260842,76,27.54,93.82,45.56,1.59
582,yanji,32,CN,1547260842,61,42.89,129.5,27.61,2.71
583,loralai,0,PK,1547260842,59,30.37,68.6,19.46,4.16
584,richards bay,0,ZA,1547260192,60,-28.77,32.06,81.38,6.96
